AttributeDescription,AttributeId,CalendarYear,CommodityCode,CommodityDescription,CountryCode,CountryName,MarketYear,Month,UnitDescription,UnitId,Value
Total Exports,88,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,11.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,692.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,692.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,703.0
Balance,198,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(1000 MT CWE)       ,7,92.3
Production Change,204,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(PERCENT)           ,23,5.0
Import Change,201,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(PERCENT)           ,23,-9.0
Export Change,202,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(PERCENT)           ,23,38.0
Consumption Change,203,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(PERCENT)           ,23,4.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(PERCENT)           ,23,7.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(PERCENT)           ,23,2.0
Population,211,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(PEOPLE)            ,41,45089492.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",AR,Argentina                     ,2019,10,(KG)                ,14,15.3
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 HEAD)         ,5,5150.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,400.0
Total Imports,57,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,260.0
Total Supply,86,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,660.0
Total Exports,88,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,40.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,620.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,620.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,660.0
Balance,198,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(1000 MT CWE)       ,7,77.7
Production Change,204,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(PERCENT)           ,23,-6.0
Import Change,201,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(PERCENT)           ,23,20.0
Export Change,202,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(PERCENT)           ,23,-15.0
Consumption Change,203,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(PERCENT)           ,23,5.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(PERCENT)           ,23,42.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(PERCENT)           ,23,10.0
Population,211,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(PEOPLE)            ,41,23705630.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",AS,Australia                     ,2019,10,(KG)                ,14,26.2
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,0.0
Total Imports,57,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,7.0
Total Supply,86,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,7.0
Total Exports,88,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,7.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,7.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,7.0
Balance,198,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(PERCENT)           ,23,0.0
Import Change,201,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(PERCENT)           ,23,-13.0
Export Change,202,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(PERCENT)           ,23,-13.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(PERCENT)           ,23,100.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(PEOPLE)            ,41,335210.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",BF,"Bahamas, The                  ",2019,10,(KG)                ,14,20.9
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,9.0
Total Imports,57,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,25.0
Total Supply,86,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,34.0
Total Exports,88,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,1.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,33.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,33.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,34.0
Balance,198,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(PERCENT)           ,23,0.0
Import Change,201,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(PERCENT)           ,23,4.0
Export Change,202,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(PERCENT)           ,23,3.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(PERCENT)           ,23,76.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(PERCENT)           ,23,11.0
Population,211,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(PEOPLE)            ,41,3843037.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",BK,Bosnia and Herzegovina        ,2019,10,(KG)                ,14,8.6
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 HEAD)         ,5,4600.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,320.0
Total Imports,57,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,26.0
Total Supply,86,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,346.0
Total Exports,88,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,12.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,334.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,334.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,346.0
Balance,198,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(1000 MT CWE)       ,7,69.6
Production Change,204,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(PERCENT)           ,23,-7.0
Import Change,201,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(PERCENT)           ,23,0.0
Export Change,202,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(PERCENT)           ,23,-14.0
Consumption Change,203,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(PERCENT)           ,23,-6.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(PERCENT)           ,23,8.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(PERCENT)           ,23,4.0
Population,211,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(PEOPLE)            ,41,9503591.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",BO,Belarus                       ,2019,10,(KG)                ,14,35.1
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 HEAD)         ,5,42000.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,3975.0
Total Imports,57,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,2.0
Total Supply,86,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,3977.0
Total Exports,88,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,875.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,3102.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,3102.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,3977.0
Balance,198,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(1000 MT CWE)       ,7,94.6
Production Change,204,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(PERCENT)           ,23,6.0
Import Change,201,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(PERCENT)           ,23,0.0
Export Change,202,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(PERCENT)           ,23,20.0
Consumption Change,203,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(PERCENT)           ,23,2.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(PERCENT)           ,23,0.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(PERCENT)           ,23,22.0
Population,211,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(PEOPLE)            ,41,210301591.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",BR,Brazil                        ,2019,10,(KG)                ,14,14.8
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 HEAD)         ,5,21700.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,69.0
Production,28,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,2000.0
Total Imports,57,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,250.0
Total Supply,86,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,2319.0
Total Exports,88,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,1315.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,939.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,939.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,65.0
Total Distribution,178,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,2319.0
Balance,198,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,-4.0
Weights,210,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(1000 MT CWE)       ,7,92.2
Production Change,204,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(PERCENT)           ,23,2.0
Import Change,201,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(PERCENT)           ,23,7.0
Export Change,202,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(PERCENT)           ,23,-1.0
Consumption Change,203,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(PERCENT)           ,23,9.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(PERCENT)           ,23,27.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(PERCENT)           ,23,66.0
Population,211,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(PEOPLE)            ,41,36136376.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",CA,Canada                        ,2019,10,(KG)                ,14,26.0
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,24.0
Total Imports,57,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,22.0
Total Supply,86,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,46.0
Total Exports,88,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,46.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,46.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,46.0
Balance,198,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(PERCENT)           ,23,0.0
Import Change,201,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(PERCENT)           ,23,5.0
Export Change,202,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(PERCENT)           ,23,2.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(PERCENT)           ,23,48.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(PEOPLE)            ,41,87265519.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",CG,Congo (Kinshasa)              ,2019,10,(KG)                ,14,0.5
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 HEAD)         ,5,600000.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,46500.0
Total Imports,57,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,2600.0
Total Supply,86,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,49100.0
Total Exports,88,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,130.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,48970.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,48970.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,49100.0
Balance,198,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(1000 MT CWE)       ,7,77.5
Production Change,204,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(PERCENT)           ,23,-14.0
Import Change,201,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(PERCENT)           ,23,67.0
Export Change,202,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(PERCENT)           ,23,-36.0
Consumption Change,203,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(PERCENT)           ,23,-12.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(PERCENT)           ,23,5.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(PEOPLE)            ,41,1389618778.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",CH,China                         ,2019,10,(KG)                ,14,35.2
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 HEAD)         ,5,5225.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,545.0
Total Imports,57,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,130.0
Total Supply,86,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,675.0
Total Exports,88,,0113000,"Meat, Swine                   ",CI,Chile                         ,2019,10,(1000 MT CWE)       ,7,240.0
